Date,Product ID,Sale Amount,Region,Discount,Quantity,Customer Type,Sales Rep,Payment Method,Return Status,Shipping Cost
3/4/2024,P0100,204,North,25.02,9,Online,David,Cash,No,12.02
3/4/2024,P0040,251,South,36.52,10,Wholesale,David,Bank Transfer,No,17.78
3/4/2024,P0066,239,East,20.69,16,Online,David,Cash,No,18.1
3/4/2024,P0087,340,East,10.13,19,Retail,Charlie,Cash,No,10.35
3/4/2024,P0040,14,South,32.74,10,Retail,Bob,Bank Transfer,No,10.65
3/4/2024,P0030,360,South,33.24,4,Retail,Bob,PayPal,No,12.62
3/4/2024,P0025,477,North,23.01,8,Online,Bob,Cash,No,5.63
3/4/2024,P0007,13,East,13.5,11,Online,Charlie,Credit Card,No,19.94
3/4/2024,P0092,273,West,41.59,6,Wholesale,Charlie,Cash,No,10.39
3/4/2024,P0050,435,West,13.77,4,Retail,David,Cash,No,12.06
3/4/2024,P0081,262,South,32.95,5,Retail,Bob,PayPal,No,16.32
3/4/2024,P0096,172,South,19.2,18,Online,David,Credit Card,No,9.46
3/4/2024,P0001,150,East,23.62,3,Retail,Bob,PayPal,No,8.02
3/4/2024,P0091,398,East,10.57,7,Wholesale,Alice,PayPal,No,6.91
3/4/2024,P0044,305,West,32.47,12,Online,Charlie,PayPal,No,12.92
3/4/2024,P0100,28,East,11.29,3,Retail,Alice,Cash,Yes,5.08
3/4/2024,P0049,91,North,24.29,17,Online,Bob,Credit Card,No,15.64
3/4/2024,P0007,490,South,16.42,3,Online,David,Credit Card,No,11.92
3/4/2024,P0003,390,West,48.18,11,Wholesale,Charlie,PayPal,No,12.98
3/5/2024,P0094,13,West,49.11,6,Online,Charlie,Bank Transfer,No,8.95
3/5/2024,P0001,137,North,37.67,11,Retail,David,Credit Card,No,7.67
3/5/2024,P0051,196,East,49.2,4,Wholesale,Alice,Credit Card,No,15.5
3/5/2024,P0098,155,East,5.68,17,Online,Alice,PayPal,No,8.15
3/5/2024,P0038,161,South,49.62,1,Retail,Alice,Cash,No,16.7
3/5/2024,P0043,372,North,5.18,12,Online,Alice,PayPal,No,8.06
3/5/2024,P0055,102,West,20.77,3,Online,Charlie,Bank Transfer,No,14.19
3/5/2024,P0057,40,North,11.95,16,Wholesale,Bob,Bank Transfer,Yes,14.66
3/5/2024,P0053,323,West,47.69,3,Wholesale,David,PayPal,No,12.58
3/5/2024,P0100,37,North,31.79,14,Wholesale,Bob,Bank Transfer,No,19.95
3/5/2024,P0033,146,East,29.86,17,Wholesale,Bob,Cash,No,10.64
3/5/2024,P0080,438,West,49.87,19,Retail,Alice,Cash,No,18.25
3/5/2024,P0062,99,South,30.62,7,Online,Bob,Cash,No,7.54
3/5/2024,P0011,58,North,32.31,11,Wholesale,Alice,Bank Transfer,No,10.06
3/5/2024,P0072,376,East,2.24,16,Retail,Alice,Cash,No,7.18
3/5/2024,P0052,267,West,42.95,19,Wholesale,Bob,PayPal,No,14.05
3/5/2024,P0001,15,East,48.5,5,Online,David,Cash,No,14.57
3/5/2024,P0014,38,North,48.02,1,Wholesale,Bob,Bank Transfer,No,11.8
3/5/2024,P0094,419,South,11.06,10,Online,Bob,Credit Card,No,15.8
3/5/2024,P0085,165,South,11.3,18,Online,Charlie,Bank Transfer,No,18.01
3/5/2024,P0021,272,North,18.3,10,Retail,Alice,PayPal,No,16.65
3/5/2024,P0034,43,West,15.51,1,Wholesale,Charlie,PayPal,No,8.62
3/5/2024,P0090,449,East,15.28,13,Wholesale,David,Bank Transfer,No,9.81
3/5/2024,P0014,246,East,30.26,4,Online,Bob,Cash,No,10.7
3/6/2024,P0040,147,West,40.28,12,Wholesale,Charlie,Cash,No,8.06
3/6/2024,P0035,377,North,46.84,16,Online,Charlie,Credit Card,Yes,10.42
3/6/2024,P0042,498,East,3.39,19,Retail,Bob,Cash,No,8.57
3/6/2024,P0082,497,East,13.9,12,Wholesale,Bob,PayPal,No,19.94
3/6/2024,P0020,66,North,12.75,6,Online,Alice,Cash,No,16.75
3/6/2024,P0060,184,East,17.87,16,Wholesale,Alice,Bank Transfer,No,17.9
3/6/2024,P0009,223,West,21.22,12,Wholesale,Charlie,Bank Transfer,No,18.83
3/6/2024,P0033,36,West,19.46,10,Retail,Bob,Credit Card,No,14.98
3/6/2024,P0049,304,North,47.61,5,Online,Alice,PayPal,Yes,7.64
3/6/2024,P0068,415,North,21.86,19,Retail,Alice,Bank Transfer,No,16.38
3/6/2024,P0004,128,West,27.58,12,Retail,David,PayPal,No,5.23
3/6/2024,P0048,156,North,37.43,8,Retail,Charlie,Cash,No,6.7
3/6/2024,P0016,365,West,36.25,4,Online,Charlie,Credit Card,No,5.44
3/6/2024,P0047,274,West,29.15,7,Online,Charlie,Credit Card,No,7.03
3/6/2024,P0026,412,West,43.04,5,Wholesale,Bob,Cash,Yes,16.28
3/6/2024,P0070,267,East,31.21,11,Online,David,Bank Transfer,Yes,18.28
3/6/2024,P0037,357,North,43.74,17,Retail,Alice,PayPal,Yes,9.18
3/6/2024,P0022,198,East,15.14,3,Online,David,PayPal,No,6.79
3/6/2024,P0007,324,North,6.6,2,Wholesale,Alice,PayPal,No,9.09
3/6/2024,P0042,240,South,40.98,19,Retail,Alice,Bank Transfer,No,14.71
3/6/2024,P0030,479,East,19.13,2,Wholesale,David,Cash,No,10.25
3/6/2024,P0074,207,East,32.55,14,Online,Charlie,PayPal,No,19.42
3/6/2024,P0079,248,East,36.87,1,Wholesale,Bob,Bank Transfer,No,6.96
3/6/2024,P0006,336,South,16.34,16,Wholesale,David,PayPal,No,19.86
3/7/2024,P0024,79,North,25.26,15,Online,Charlie,Bank Transfer,Yes,5.19
3/7/2024,P0066,426,South,44.75,18,Wholesale,Charlie,Cash,No,11.78
3/7/2024,P0040,261,North,43.99,2,Online,Bob,PayPal,No,8.78
3/7/2024,P0015,471,North,37.47,11,Retail,Bob,Cash,No,13.49
3/7/2024,P0053,202,North,38.14,17,Wholesale,Charlie,Credit Card,No,6.45
3/7/2024,P0085,34,North,44.88,13,Retail,Bob,Bank Transfer,No,18.14
3/7/2024,P0082,79,North,36.82,12,Online,Charlie,Credit Card,No,7.05
3/7/2024,P0005,165,South,16.98,2,Online,Alice,Cash,Yes,13.81
3/7/2024,P0089,155,East,6.04,18,Wholesale,Bob,Cash,No,5.5
3/7/2024,P0036,328,South,21.09,10,Wholesale,Alice,Cash,No,9.66
3/7/2024,P0074,228,East,4.37,12,Online,Bob,PayPal,No,7.25
3/7/2024,P0046,58,East,5.79,17,Online,Charlie,PayPal,Yes,19.67
3/7/2024,P0023,388,West,47.51,14,Retail,Charlie,Cash,No,5.18
3/7/2024,P0088,389,East,33.79,19,Retail,Charlie,Cash,No,10.29
3/7/2024,P0045,203,South,42.58,13,Wholesale,Charlie,PayPal,No,9.54
3/7/2024,P0010,49,West,32.14,3,Wholesale,Charlie,PayPal,No,14.86
3/7/2024,P0054,94,North,20.93,8,Wholesale,Charlie,Bank Transfer,No,5.85
3/7/2024,P0070,352,North,1.26,5,Wholesale,Bob,Cash,No,17.16
3/7/2024,P0077,459,East,47.79,12,Wholesale,Bob,PayPal,Yes,12
3/7/2024,P0085,345,North,3.55,1,Wholesale,Alice,PayPal,No,11.79
3/7/2024,P0032,13,North,30.51,16,Wholesale,David,Credit Card,No,8.4
3/7/2024,P0043,299,West,5.11,12,Wholesale,Bob,Cash,Yes,12.35
3/7/2024,P0015,256,South,14.21,17,Retail,Bob,Cash,No,10.46
3/7/2024,P0066,14,North,9.29,9,Online,David,PayPal,No,8.68
3/8/2024,P0015,235,North,27.69,13,Online,David,Credit Card,No,7.53
3/8/2024,P0081,159,South,44.35,4,Wholesale,Alice,Bank Transfer,No,15.93
3/8/2024,P0020,247,West,31.78,4,Online,Alice,Cash,No,7.13
3/8/2024,P0050,157,West,33.21,15,Wholesale,Charlie,Bank Transfer,No,7.52
3/8/2024,P0006,112,North,45.45,10,Retail,Alice,Cash,No,13.66
3/8/2024,P0079,184,East,37.47,6,Wholesale,Alice,PayPal,Yes,8.39
3/8/2024,P0017,470,South,43.3,3,Retail,David,Bank Transfer,No,11.89
3/8/2024,P0026,245,West,20.82,15,Retail,Bob,Cash,No,13.29
3/8/2024,P0022,43,North,43.27,6,Retail,Charlie,Bank Transfer,No,9.12
3/8/2024,P0073,181,West,32.29,11,Wholesale,Alice,PayPal,No,10.15
3/8/2024,P0064,15,North,6.78,2,Retail,David,Credit Card,No,8.15
3/8/2024,P0076,449,South,1.94,2,Wholesale,Charlie,Credit Card,No,11.91
3/8/2024,P0086,294,East,12.2,1,Retail,Charlie,Bank Transfer,No,19.89
3/8/2024,P0058,234,South,18.92,11,Retail,David,Bank Transfer,No,10.44
3/8/2024,P0087,62,West,41.88,5,Online,Alice,Bank Transfer,Yes,14.8
3/8/2024,P0037,266,West,37.06,6,Wholesale,Alice,Cash,No,14.54
3/8/2024,P0078,68,West,47.77,3,Online,Alice,PayPal,Yes,16.8
3/8/2024,P0088,441,East,27.96,5,Retail,Alice,Bank Transfer,No,15.68
3/8/2024,P0072,255,South,37.39,9,Online,Charlie,Credit Card,No,5.18
3/8/2024,P0090,16,North,13.76,19,Retail,Bob,Cash,No,9.64
3/8/2024,P0096,223,South,33.98,5,Online,Charlie,Bank Transfer,No,18.05
3/8/2024,P0028,425,South,35.31,12,Online,Charlie,Cash,No,13.09
3/8/2024,P0096,87,East,42.42,12,Wholesale,David,Bank Transfer,No,6.56
3/8/2024,P0086,198,South,26.82,16,Wholesale,Charlie,Bank Transfer,No,9.14
3/9/2024,P0049,450,West,32.45,7,Online,Alice,Cash,No,9.25
3/9/2024,P0073,316,East,10.15,14,Online,David,PayPal,No,18.1
3/9/2024,P0067,225,West,36.84,9,Wholesale,David,PayPal,No,13.3
3/9/2024,P0089,412,West,41.92,15,Retail,David,Credit Card,No,14.12
3/9/2024,P0076,292,South,29.69,11,Retail,David,PayPal,No,10.51
3/9/2024,P0093,328,North,5.78,4,Retail,David,PayPal,No,5.9
3/9/2024,P0067,453,South,15.64,11,Retail,Alice,Cash,Yes,6.13
3/9/2024,P0041,70,North,23.78,9,Online,Bob,Cash,No,11.31
3/9/2024,P0046,70,East,33.86,6,Retail,Bob,Credit Card,No,7.66
3/9/2024,P0087,224,East,16.02,17,Online,David,Bank Transfer,No,6.56
3/9/2024,P0087,391,East,42.01,9,Online,Bob,Cash,No,8.93
3/9/2024,P0055,54,West,18.59,6,Retail,Charlie,Cash,No,16.13
3/9/2024,P0082,414,West,2.14,6,Retail,Bob,Cash,No,6.1
3/9/2024,P0011,181,East,39.7,4,Retail,Charlie,PayPal,No,11.72
3/9/2024,P0100,230,South,32.21,11,Wholesale,Alice,Cash,Yes,17.39
3/9/2024,P0026,394,West,40.1,3,Online,David,Credit Card,No,9.02
3/9/2024,P0072,104,West,17.44,18,Retail,Charlie,Credit Card,No,9.53
3/9/2024,P0092,356,South,0.88,16,Wholesale,Alice,Cash,No,18.26
3/9/2024,P0082,53,West,3.69,16,Online,Alice,Bank Transfer,No,14.75
3/9/2024,P0013,237,South,5.59,12,Online,David,Cash,Yes,16.97
3/9/2024,P0036,71,North,40.26,14,Online,Bob,Credit Card,No,9.34
3/9/2024,P0064,326,South,15.07,9,Retail,Alice,Bank Transfer,No,19.95
3/9/2024,P0051,228,North,49.89,7,Retail,Bob,PayPal,No,7.11
3/9/2024,P0076,344,West,37.92,14,Online,Bob,Cash,No,19.43
3/10/2024,P0022,98,North,30.06,10,Online,Bob,Credit Card,No,18.53
3/10/2024,P0060,121,South,49.18,11,Wholesale,Charlie,PayPal,No,13.28
3/10/2024,P0002,216,North,15.82,7,Wholesale,Bob,Credit Card,No,13.78
3/10/2024,P0056,497,East,8.28,19,Online,Bob,PayPal,No,16.63
3/10/2024,P0040,476,South,36.86,19,Wholesale,Alice,Credit Card,No,9.6
3/10/2024,P0028,376,South,13.9,11,Online,David,Credit Card,No,12.91
3/10/2024,P0077,315,North,48.05,6,Wholesale,Charlie,PayPal,No,18.54
3/10/2024,P0097,212,West,49.4,8,Online,Bob,Cash,No,6.02
3/10/2024,P0003,306,West,46.32,1,Retail,David,Credit Card,No,18.58
3/10/2024,P0063,42,South,47.24,8,Online,Bob,Bank Transfer,No,15.93
3/10/2024,P0098,498,South,30.78,5,Retail,Bob,Cash,No,16.55
3/10/2024,P0023,224,North,34.61,10,Online,Alice,Bank Transfer,No,5.97
3/10/2024,P0055,21,South,4.71,2,Retail,David,Credit Card,No,7.82
3/10/2024,P0032,11,South,38.15,4,Wholesale,Alice,PayPal,No,18.88
3/10/2024,P0084,372,West,10.1,2,Retail,Alice,Cash,No,6.86
3/10/2024,P0028,158,South,42.02,15,Wholesale,Bob,PayPal,No,14.47
3/10/2024,P0008,151,North,48.08,10,Online,Bob,PayPal,No,16.74
3/10/2024,P0003,299,South,10.62,2,Wholesale,Bob,Bank Transfer,No,8.47
3/10/2024,P0094,216,South,3.9,6,Wholesale,David,Bank Transfer,No,15.48
3/10/2024,P0089,350,South,24.19,14,Wholesale,David,Cash,No,5.98
3/10/2024,P0053,201,East,39.58,5,Online,David,Cash,Yes,12.48
3/10/2024,P0094,416,South,38.53,2,Retail,David,Cash,Yes,10.02
3/10/2024,P0029,350,North,34.84,14,Wholesale,Bob,Bank Transfer,No,14.69
3/10/2024,P0094,315,West,41.03,13,Online,Bob,Bank Transfer,No,18.34
3/11/2024,P0098,407,West,8.75,2,Wholesale,Alice,PayPal,No,6.88
3/11/2024,P0089,478,East,32.6,9,Retail,Bob,PayPal,No,11.75
3/11/2024,P0081,261,North,30.28,3,Wholesale,David,PayPal,No,11.35
3/11/2024,P0059,213,West,7.67,15,Wholesale,Charlie,Cash,No,9.86
3/11/2024,P0024,371,West,20.72,3,Wholesale,Bob,Credit Card,No,12.2
3/11/2024,P0038,55,South,42.63,12,Retail,David,Bank Transfer,No,18.21
3/11/2024,P0028,383,South,48.59,6,Retail,Alice,Cash,No,19.6
3/11/2024,P0097,270,South,33.27,19,Online,Bob,Bank Transfer,No,5.04
3/11/2024,P0062,75,East,46.1,17,Wholesale,Charlie,Credit Card,No,16.09
3/11/2024,P0100,159,South,6.6,6,Wholesale,David,Bank Transfer,No,14.23
3/11/2024,P0051,79,North,48.75,19,Wholesale,Bob,Bank Transfer,No,19.92
3/11/2024,P0007,373,East,1.68,17,Wholesale,David,Bank Transfer,No,6.35
3/11/2024,P0023,11,West,26.36,16,Retail,Charlie,PayPal,No,17.17
3/11/2024,P0046,38,West,14.55,8,Retail,Charlie,Credit Card,No,19.01
3/11/2024,P0090,265,North,40.7,19,Wholesale,Alice,Cash,No,18.68
3/11/2024,P0078,70,North,10.88,8,Wholesale,Charlie,Cash,No,13.41
3/11/2024,P0028,109,West,0.58,15,Wholesale,Bob,Cash,No,9.91
3/11/2024,P0024,393,North,20.73,8,Wholesale,Charlie,Credit Card,No,14.6
3/11/2024,P0007,464,North,3.21,3,Online,Bob,Bank Transfer,No,9.59
3/11/2024,P0100,153,North,14.5,16,Online,Bob,Cash,Yes,11.18
3/11/2024,P0079,201,South,32.19,3,Wholesale,David,Credit Card,No,11.69
3/11/2024,P0049,362,West,14.74,1,Wholesale,Bob,PayPal,No,9.53
3/11/2024,P0003,362,North,12.29,8,Wholesale,Bob,Credit Card,No,10.13
3/11/2024,P0002,279,North,7.77,9,Online,Alice,PayPal,No,5.11
3/12/2024,P0007,308,South,6.76,12,Retail,David,Credit Card,No,9.46
3/12/2024,P0080,469,West,26.29,18,Online,Bob,PayPal,No,12.08
3/12/2024,P0021,436,East,34.08,17,Online,Alice,Cash,No,7.6
3/12/2024,P0009,335,West,22.64,8,Wholesale,David,Credit Card,Yes,17.08
3/12/2024,P0012,320,West,6.18,11,Wholesale,Charlie,PayPal,No,13.06
3/12/2024,P0093,213,West,32.39,7,Retail,Bob,Bank Transfer,No,16.91
3/12/2024,P0024,254,South,27.86,14,Wholesale,Charlie,Cash,No,6.92
3/12/2024,P0033,40,West,19.06,10,Wholesale,David,Cash,Yes,17.31
3/12/2024,P0078,341,East,16.5,15,Retail,David,PayPal,No,19.37
3/12/2024,P0043,467,North,9.16,12,Wholesale,Alice,PayPal,No,10.29
3/12/2024,P0082,433,West,7.31,17,Wholesale,Bob,Credit Card,Yes,9.26
3/12/2024,P0005,420,South,16.94,8,Wholesale,Bob,PayPal,No,14.7
3/12/2024,P0079,61,West,2.08,14,Online,Alice,PayPal,No,14.54
3/12/2024,P0071,393,West,21.83,15,Wholesale,Charlie,Bank Transfer,No,6.69
3/12/2024,P0089,252,East,30.08,11,Online,David,Cash,No,18.9
3/12/2024,P0014,272,East,47.08,12,Wholesale,Alice,PayPal,No,12.19
3/12/2024,P0036,183,South,31.29,16,Wholesale,David,PayPal,No,16.47
3/12/2024,P0035,109,South,31.2,18,Online,Charlie,Bank Transfer,No,10.39
3/12/2024,P0050,426,South,18.72,10,Online,Charlie,PayPal,Yes,8.92
3/12/2024,P0088,484,South,6.67,19,Wholesale,Charlie,Bank Transfer,No,6.67
3/12/2024,P0079,401,South,22.35,18,Retail,Bob,Cash,No,9.12
3/12/2024,P0011,398,North,29.93,1,Wholesale,David,Cash,No,19.9
3/12/2024,P0024,70,North,36.2,4,Online,David,Bank Transfer,No,14.87
3/12/2024,P0075,465,South,41.3,7,Wholesale,Alice,Bank Transfer,No,17.04
3/13/2024,P0044,369,South,12.8,1,Wholesale,David,Cash,Yes,19.38
3/13/2024,P0051,197,North,12.06,8,Online,Bob,Cash,No,6.18
3/13/2024,P0017,478,East,28.26,17,Retail,Alice,Bank Transfer,No,7.47
3/13/2024,P0070,417,North,28.3,8,Retail,Charlie,Credit Card,Yes,18.92
3/13/2024,P0085,16,South,10.9,5,Online,David,Cash,No,13.47
3/13/2024,P0008,198,East,29.37,1,Online,Bob,Cash,No,14.52
3/13/2024,P0079,92,South,17.29,15,Wholesale,Bob,Bank Transfer,Yes,11.41
3/13/2024,P0096,360,West,31.97,4,Online,David,Bank Transfer,No,17.22
3/13/2024,P0074,429,East,14.55,7,Online,Bob,Bank Transfer,No,12.76
3/13/2024,P0028,292,South,29.61,14,Wholesale,Charlie,Credit Card,No,17.39
3/13/2024,P0079,133,North,38.42,12,Wholesale,David,Bank Transfer,No,19.88
3/13/2024,P0012,166,South,49.01,3,Wholesale,David,Credit Card,No,14.7
3/13/2024,P0043,96,North,45.55,18,Retail,David,Bank Transfer,No,12.93
3/13/2024,P0082,157,East,25.18,8,Retail,Alice,Bank Transfer,No,10.48
3/13/2024,P0037,79,North,24.42,2,Online,Charlie,Credit Card,No,7.92
3/13/2024,P0088,469,East,21.89,6,Wholesale,Bob,PayPal,Yes,14.85
3/13/2024,P0063,379,South,1.39,7,Online,David,Cash,No,5.94
3/13/2024,P0093,85,North,8.3,7,Online,David,Bank Transfer,No,19.34
3/13/2024,P0063,123,East,2.96,13,Retail,Bob,PayPal,No,14.71
3/13/2024,P0010,12,East,34.82,1,Retail,Charlie,Credit Card,No,19.39
3/13/2024,P0078,243,East,20.66,8,Online,Bob,Bank Transfer,No,9.08
3/13/2024,P0080,176,West,3.19,13,Wholesale,Bob,Credit Card,No,19.2
3/13/2024,P0037,108,East,34.53,19,Retail,David,Credit Card,No,14.18
3/13/2024,P0011,133,South,32.22,17,Retail,Alice,Credit Card,No,17.15
3/14/2024,P0090,476,South,36,13,Retail,Alice,PayPal,No,7.68
3/14/2024,P0019,54,South,29.99,16,Online,Alice,Credit Card,No,12.5
3/14/2024,P0052,391,East,8.08,15,Retail,Alice,Cash,No,13.53
3/14/2024,P0018,333,South,3.07,11,Wholesale,Alice,Bank Transfer,No,10.89
3/14/2024,P0094,296,East,40.86,12,Retail,David,Bank Transfer,No,8.8
3/14/2024,P0032,115,East,10.79,3,Online,Alice,Cash,No,18.57
3/14/2024,P0023,303,East,27.13,9,Online,Bob,Bank Transfer,No,6.28
3/14/2024,P0012,490,West,24.26,14,Online,David,Cash,No,7.31
3/14/2024,P0058,143,North,46.05,7,Online,Bob,PayPal,No,9.81
3/14/2024,P0077,17,South,27.62,11,Wholesale,Alice,Credit Card,No,18.8
3/14/2024,P0021,37,West,29,10,Online,Charlie,PayPal,No,13.46
3/14/2024,P0021,280,South,15.98,3,Retail,Alice,Cash,No,10.6
3/14/2024,P0093,232,West,47.93,19,Wholesale,David,Credit Card,No,11.04
3/14/2024,P0093,17,North,30.62,2,Online,Bob,PayPal,No,17.57
3/14/2024,P0091,319,North,0.25,17,Online,Charlie,Credit Card,No,5.4
3/14/2024,P0029,143,North,27.8,2,Wholesale,Charlie,Credit Card,No,5.17
3/14/2024,P0079,38,North,18.19,16,Retail,Charlie,PayPal,No,5.69
3/14/2024,P0047,124,East,1.61,17,Wholesale,Bob,Bank Transfer,No,12.04
3/14/2024,P0012,43,South,21.58,10,Retail,David,Cash,No,13.72
3/14/2024,P0058,16,South,38.68,4,Retail,Charlie,PayPal,No,14.37
3/14/2024,P0041,49,South,25.19,11,Online,Bob,PayPal,No,15.97
3/14/2024,P0019,339,East,31.97,17,Wholesale,Bob,Bank Transfer,No,7.85
3/14/2024,P0012,406,South,31.99,12,Wholesale,Alice,Cash,No,8.93
3/14/2024,P0023,71,North,33.55,10,Online,Bob,PayPal,No,8.65
3/15/2024,P0005,95,South,19.38,16,Online,David,Credit Card,No,7.24
3/15/2024,P0026,222,South,18.5,4,Retail,David,Cash,No,8.67
3/15/2024,P0063,125,West,0.23,3,Online,Charlie,Bank Transfer,No,14.2
